tweet,date,query,replies,reposts,likes,bookmarks,views
more americans are maimed or killed by drunk drivers and alcohol related violence than from gun violence yet democrat politicians say nothing. its just not political enough for them to care.,2022-05-23 02:57:47,gun violence,0,0,1,0,0
"climate change? wtf! we have never been worried about that bruh. gun violence?:rolling_on_the_floor_laughing: its the worst it has ever been and all the inner cities run by blacks, so who we gonna vote for?. universal prek? lmao have you seen our public schools? you want more of that? cmon bruh",2022-05-23 02:56:20,gun violence,0,0,3,0,0
"take action to end gun violence, urge doctors",2022-05-23 02:55:09,gun violence,0,0,0,0,0
"just to be clear, you believe the only reason black people should vote is because: a) voting stops racism b) voting stops sociopathy, c) voting stops gun violence?",2022-05-23 02:52:09,gun violence,4,1,25,0,0
i believe 5 other incidents with gun violence occurred the same week. its concerning how common shootings are becoming. #mfjs2140,2022-05-23 02:51:21,gun violence,0,0,0,0,0
absolutely not. im saying gun violence doesnt discriminate.,2022-05-23 02:51:00,gun violence,0,0,0,0,0
sorta like eric adams in nyc stopping gun violence.,2022-05-23 02:50:18,gun violence,0,0,0,0,0
great idea! law abiding citizens follow restrictive gun laws while criminals surprisingly say :middle_finger_mediumlight_skin_tone: and continue to stock pile any weapons they want. im sure there wouldnt be an increase in gun violence at all :face_with_rolling_eyes:,2022-05-23 02:49:57,gun violence,0,0,1,0,0
ill repeat this for you sir as thing gets lost . theyve been arguing about this for how many years ? it aint happening .. focus on improving education & reduced gun violence will follow. and states should do ass heartbeat style laws if they want bans on certain guns,2022-05-23 02:49:38,gun violence,0,0,0,0,0
its crazy how the states with the most stringent gun laws have the most gun violence! they always make it the guns fault instead of the criminals fault.,2022-05-23 02:48:11,gun violence,0,0,0,0,0
@repmtg so much whining and blamingand this is the same woman who stalked and tormented and vilified a victim of gun violence. @davidhogg111 we have the video princess.,2022-05-23 02:47:25,gun violence,1,0,0,0,0
im so sorry that happened to u and u have every reason to be pissed. some ppl dont understand how awful gun violence is here :broken_heart:,2022-05-23 02:47:20,gun violence,1,0,2,0,0
"these programs sound great in theory, but in addition to all the issues highlighted in this thread, i imagine 68 guns is a fraction of a percent of all guns in brooklyn. so while they probably minimally reduce gun violence, they seem more of a pr stunt.",2022-05-23 02:45:44,gun violence,1,1,15,0,0
"guns that are being used as you call it gun violence are all illegal, it is gang violence and it has to do with drugs. at least be honest.",2022-05-23 02:45:32,gun violence,0,0,0,0,0
what does white ppl have to do with blk ppl asking for something to be done at the height if the crack epidemic. the crack houses were damaging the neighborhoods. blk mothers losing their children to gun violence. they cried out and something was done.,2022-05-23 02:44:00,gun violence,2,0,0,0,0
"we already have 20,000+ gun laws on the books we also have laws banning many types of drugs, yet those illegal drugs are everywhere moral of the lesson: laws dont make things magically go away want to really lower gun violence? get rid of gun free zones",2022-05-23 02:37:09,gun violence,0,0,0,0,0
but she wont stand up to the oil companies. she wont vote to protect voting rights. she wont vote to get ba formula. she wont vote to stop gun violence. she wont vote for jobs. she wont vote for immigration. shes an obstructionist & she wont even follow jesus teachings.,2022-05-23 02:36:25,gun violence,0,0,0,0,0
but youre silent/not pissed off about the tens of thousands of shootings which occur day in and day out in the top 3 metros that are 98.5% by handguns. background checks are the norm. assault weapons 1% of gun violence. enforcing (lack of) existing laws is the issue.,2022-05-23 02:36:03,gun violence,0,0,0,0,0
have you reached out to see how congress can help on spiking gun violence ben?,2022-05-23 02:35:25,gun violence,0,0,1,0,0
"during this march, another new yorker lost their life to gun violence on our subway. its unacceptable that our neighbors continue to be shot and killed on our streets, on public transportation, and in their communities.",2022-05-23 02:33:33,gun violence,1,3,8,0,0
"this morning in flatbush, chief deputy public advocate for community engagement @julissasnyc marched with community leaders calling for more action against gun violence.",2022-05-23 02:33:32,gun violence,3,4,11,0,0
okay but theyre arguing against aggressive attempts to enforce drug laws which is very arguable each way; i am arguing for aggressive attempts to enforce laws against gun violence in the street which i hope isnt.,2022-05-23 02:33:25,gun violence,1,0,1,0,0
"sick of this clown mayor btwn the gun violence, addicts and filthy streets philly is so far gone its sad",2022-05-23 02:33:10,gun violence,0,0,1,0,0
cdc treating gun violence as public health issue via @youtube,2022-05-23 02:32:46,gun violence,0,0,1,0,0
it feels more likely that those killed by gun violence will rise from the grave to enact change. somehow we are all held hostage to guns,2022-05-23 02:32:37,gun violence,0,0,0,0,0
iran needs to do something about their gun violence problem. they should talk to some of their democrat friends here in the usa for help with enacting new gun control laws.,2022-05-23 02:31:57,gun violence,0,0,0,0,0
"not just gun laws, this is a public health emergency. a gun violence pandemic thats getting worse and not being addressed.",2022-05-23 02:31:32,gun violence,0,0,1,0,0
"can you please for the love of god do something about gun violence:oncoming_fist::enraged_face::oncoming_fist: talking is not doing anything tougher laws will. rip to all who have died, innocently to gun violence :cross_mark::hollow_red_circle::cross_mark::hollow_red_circle:.",2022-05-23 02:30:52,gun violence,0,0,0,0,0
"congratulations, david huffman (grand prize), sophia carter (first) and joshua davis (second) for winning the ontario county justice coalitions writing contest on gun violence! #genevacsd #ghs",2022-05-23 02:30:03,gun violence,0,0,2,0,0
"at least five people have been killed in separate shootings across philly from saturday night into sunday, police say.",2022-05-23 02:29:46,gun violence,3,4,5,0,0
at least 5 people killed in several shootings from saturday to sunday in philadelphia: police via @cbsphilly,2022-05-23 02:29:33,gun violence,0,0,0,0,0
wpvitv: philadelphia police: 12 shot and 4 dead after a string of shootings overnight. via @googlenews,2022-05-23 02:29:13,gun violence,0,0,0,0,0
"im so srry for u lost, the gun violence is horrible",2022-05-23 02:28:42,gun violence,0,0,0,0,0
philadelphia police: 12 shot and 4 dead after a string of shootings overnight  6abc philadelphia,2022-05-23 02:28:11,gun violence,0,0,0,0,0
youre not going to end gun violence by infringing upon the rights of the law abiding citizens and you know that so whats your real reason for eroding and destroying the us constitution. you are the natzi.,2022-05-23 02:27:53,gun violence,0,0,0,0,0
rep. swalwell has authored and introduced multiple firearms safety bills in the house. he walks the walk.,2022-05-23 02:27:16,gun violence,0,0,0,0,0
"ga may be #1 place for biz, but were #48 in mental health, #2 in uninsured. #1 in maternal mortality & new hiv cases, #9 in gun violence,",2022-05-23 02:27:05,gun violence,1,0,3,0,0
the only way there can be gun violence in jn is if your draconian gun laws dont work. i forget  which of the common sense gun control laws does nj not have?,2022-05-23 02:22:26,gun violence,0,0,4,0,0
"im so sorry for you loss, i completely agree that gun violence needs to stop. i wish you and your family nothing but the best.",2022-05-23 02:21:58,gun violence,0,0,0,0,0
"in the 20yrs since 2000, the usa has increased its gdp almost as much as china. so where have the $us gone? why no high speed rail? why falling us life expectancy? why increasing us inequality? crippling us healthcare costs? gun violence. the usa spends on wars & corruption.",2022-05-23 02:20:50,gun violence,0,0,1,0,0
yes sir. ive owned firearms for over 30 years and not one of them has ever jumped up an committed gun violence.,2022-05-23 02:20:22,gun violence,0,0,1,0,0
"udo proudly endorsed @briankavanaghny for his reelection in #sd27! brian is a leading advocate in albany for tenant and home owner protection, aid to small businesses, gun violence prevention & historic investment in revitalizing chinatown. we are grateful for brians leadership",2022-05-23 02:19:08,gun violence,3,5,8,0,0
"reggie teve 2 irms assasinadas por violncia de armas de fogo, ele uma pessoa muito forte por canalizar tudo para ajudar muita gente. recomendo a leitura do seu texto no @playerstribune:",2022-05-23 02:18:19,gun violence,1,41,590,26,0
"ok whatever you say. a bunch of biased opeds really confirm your point :yawning_face: nothing changes the fact blacks commit more gun violence, gang violence, murders per capita, sexual assault per capita, violent crimes in general at 3+x the expected rate but sure, its all because racism.",2022-05-23 02:16:51,gun violence,1,0,0,0,0
"despite an increased @nypdnews presence at @nyctsubway stations, another disgusting act of gun violence has been committed time and time again, one of the largest police forces in the us has been incapable of stopping such incidents (a bodega worker found the last suspect).",2022-05-23 02:15:13,gun violence,2,0,2,0,0
police: triple shooting leaves 2 teens critically injured in penns landing via @6abc,2022-05-23 02:13:44,gun violence,0,0,0,0,0
"ga may be #1 place for biz, but were #48 in mental health, #2 in uninsured. #1 in maternal mortality & new hiv cases, #9 in gun violence, for too many, kemps georgia doesnt include them. why? because #kempdoesntcare. as governor, ill lead #onegeorgia thats #1 for all of us",2022-05-23 02:11:01,gun violence,0,0,0,0,0
